iter	Passed	Remaining
928	108419	8295
929	108519	8176
930	108612	8058
931	108708	7940
932	108805	7821
933	108901	7703
934	108998	7585
935	109095	7467
936	109193	7349
937	109288	7231
938	109381	7113
939	109475	6995
940	109570	6877
941	109668	6759
942	109764	6641
943	109859	6524
944	109955	6406
945	110053	6288
946	110148	6171
947	110245	6053
948	110342	5936
949	110440	5818
950	110534	5701
951	110630	5583
952	110724	5466
953	110819	5349
954	110917	5231
955	111014	5114
956	111111	4997
957	111211	4880
958	111309	4763
959	111406	4646
960	111505	4529
961	111602	4413
962	111697	4296
963	111792	4179
964	111899	4062
965	111994	3945
966	112088	3829
967	112185	3712
968	112283	3595
969	112377	3479
970	112474	3362
971	112573	3246
972	112670	3129
973	112764	3013
974	112860	2896
975	112959	2780
976	113057	2664
977	113154	2548
978	113249	2431
979	113348	2315
980	113445	2199
981	113541	2083
982	113640	1967
983	113739	1851
984	113834	1735
985	113932	1619
986	114032	1503
987	114133	1387
988	114231	1271
989	114331	1156
990	114429	1040
991	114528	924
992	114625	808
993	114725	693
994	114822	577
995	114921	461
996	115022	346
997	115123	230
998	115224	115
999	115328	0
